Nr linii,Gatunek Kłody,Średnica w przecięciu,Nr Kwadratu
1,sw ,11,1
1,br,21,1
1,br,29,1
1,os,18,1
1,sw ,"13,5",3
1,sw ,20,4
2,sw ,20,1
2,br,"11,5",5
2,sw ,15,7
2,br,14,8
2,sw ,15,8
2,db,48,9
3,sw ,33,2
3,db,17,3
3,db,14,4
3,sw ,15,8
3,db,65,8
3,db,50,8
3,sw ,31,9
3,br,20,9
3,sw ,11,9
3,db,41,9
3,db,11,10
3,db,24,10
3,sw ,18,10
4,sw ,12,1
4,sw ,"32,5",1
4,sw ,22,2
4,sw ,36,3
4,db,10,6
4,sw,15,7
4,sw ,34,8
4,sw ,"11,5",8
4,db,10,8
4,sw ,17,9
4,db,63,10
4,sw ,31,10
5,sw ,19,1
5,db,10,2
5,sw ,31,4
5,sw ,20,6
5,db,23,7
5,sw ,12,8
6,gb,41,1
6,gb,16,1
6,gb,17,1
6,sw ,17,4
6,sw ,38,5
6,db,14,6
6,db,16,7
6,sw ,14,8
6,sw ,10,8
6,br,11,9